"name","online_order","book_table","rate","votes","location","rest_type","dish_liked","cuisines","approx_cost.for.two.people.","listed_in.type.","listed_in.city."
"55 Wall Street","No","Yes",3.9,1779,"JP Nagar","Bar","Cocktails","Finger Food, North Indian, Chinese","1,300","Dine-out","JP Nagar"
"Chulha Chauki Da Dhaba","Yes","No",4.3,2420,"JP Nagar","Casual Dining","Chilli Babycorn","North Indian","800","Dine-out","JP Nagar"
"Zaitoon","Yes","Yes",4.1,1547,"JP Nagar","Casual Dining","Hummus Falafel","BBQ, Arabian, Chinese, North Indian, Desserts","1,000","Dine-out","JP Nagar"
"1441 Pizzeria","Yes","No",4.1,138,"JP Nagar","Casual Dining","Hot Chocolate","Pizza, Salad","800","Dine-out","JP Nagar"
"The Underpass Pub & Grub","No","Yes",4,720,"JP Nagar","Pub, Casual Dining","Pasta","Finger Food, Continental, North Indian, Chinese","1,500","Dine-out","JP Nagar"
"Paradise","Yes","No",4,1986,"JP Nagar","Casual Dining","Kalmi Kabab","Biryani, North Indian, Kebab","800","Dine-out","JP Nagar"
"Checkpost","Yes","No",4.1,956,"JP Nagar","Casual Dining","Filter Kaapi","South Indian, Seafood, North Indian, Beverages","600","Dine-out","JP Nagar"
"Mani's Dum Biryani","Yes","No",4.2,380,"JP Nagar","Casual Dining","Paneer Biryani","Biryani, Kebab","750","Dine-out","JP Nagar"
"Bottle Breacher","No","Yes",4.1,1195,"JP Nagar","Casual Dining, Pub","Chicken Biryani","Italian, Continental","1,200","Dine-out","JP Nagar"
"Two Friends Cauldron","Yes","Yes",4.1,459,"JP Nagar","Casual Dining","Butter Beer","Continental, Italian, American","700","Dine-out","JP Nagar"
"Nandhana Palace","No","Yes",4.3,1079,"JP Nagar","Casual Dining, Bar","Bamboo Chicken","Andhra, Biryani, North Indian, Chinese","800","Dine-out","JP Nagar"
"The Coastal Crew by Fujian on 24th","Yes","Yes",4.2,1033,"JP Nagar","Casual Dining, Bar","Sea Food","Chinese, Thai, Seafood, North Indian, Momos","1,100","Dine-out","JP Nagar"
"Rajdhani Thali Restaurant","Yes","Yes",3.9,887,"JP Nagar","Casual Dining","Thali","North Indian","900","Dine-out","JP Nagar"
"Dr. Sheesha","No","Yes",4.1,1445,"JP Nagar","Cafe","Mocktails","Cafe, Chinese, Continental, Italian","800","Dine-out","JP Nagar"
"Tandoor And Spice","Yes","No",4,181,"JP Nagar","Casual Dining","Egg Biryani","North Indian, Chinese, Biryani, Hyderabadi","550","Dine-out","JP Nagar"
"Watson's","Yes","Yes",4,1016,"JP Nagar","Pub, Bar","Beer","Finger Food, Chinese, Continental","1,300","Dine-out","JP Nagar"
"Churchill's","Yes","Yes",4.1,1405,"JP Nagar","Casual Dining, Pub","Cocktails","North Indian, Continental","1,100","Dine-out","JP Nagar"
"Skyline Pizzeria","No","No",3.9,764,"JP Nagar","Cafe, Bakery","Pizza","Cafe, Bakery, Italian","600","Dine-out","JP Nagar"
"The Chervil","Yes","No",4.1,232,"JP Nagar","Casual Dining","Peri Peri Chicken Wings","North Indian, Continental","1,000","Dine-out","JP Nagar"
"Andhra Ruchulu","Yes","Yes",4.2,1432,"JP Nagar","Casual Dining","Paneer Tikka","Andhra, North Indian","800","Dine-out","JP Nagar"
"Mango Tree- The Beer Garden","Yes","Yes",4.1,1322,"JP Nagar","Casual Dining","Dragon Chicken","North Indian, Chinese, Continental","1,200","Dine-out","JP Nagar"
"Caffe Pascucci","Yes","Yes",4,790,"JP Nagar","Casual Dining","Coffee","Continental, Italian, Beverages","1,300","Dine-out","JP Nagar"
"Casa Piccosa","Yes","Yes",4.1,847,"JP Nagar","Casual Dining, Bar","Cocktails","South American, Continental, Italian","1,100","Dine-out","JP Nagar"
"Nandhini Paradise","No","No",3.8,919,"JP Nagar","Casual Dining","Ghee Rice","North Indian","600","Dine-out","JP Nagar"
"D View Cafe","Yes","No",4,510,"JP Nagar","Cafe, Quick Bites","Chicken Lollipop","Cafe, Italian, Chinese, Beverages","1,000","Dine-out","JP Nagar"
"Oye Amritsar","Yes","Yes",3.8,763,"JP Nagar","Casual Dining","Lassi","North Indian","600","Dine-out","JP Nagar"
"Machali Port","Yes","No",3.9,34,"JP Nagar","Casual Dining","Sea Food","Mangalorean, Seafood, North Indian","750","Dine-out","JP Nagar"
"Melt - Eden Park","Yes","Yes",4,347,"JP Nagar","Casual Dining","Tandoori Chicken","North Indian, Chinese, Thai, Mughlai, Seafood","1,000","Dine-out","JP Nagar"
"Mockaholic Restro Beer Cafe","Yes","No",3.9,914,"JP Nagar","Bar","Beer","North Indian, Chinese, Pizza, BBQ","1,000","Dine-out","JP Nagar"
"Mandi","Yes","Yes",3.8,561,"JP Nagar","Casual Dining","Phirni","North Indian","800","Dine-out","JP Nagar"
"Vaathsalya Millet Cafe","Yes","Yes",4.1,294,"JP Nagar","Casual Dining","Khichda","Healthy Food, South Indian","500","Dine-out","JP Nagar"
"Oogway Express","Yes","No",3.9,349,"JP Nagar","Casual Dining","Noodles","Chinese, Thai, Momos","600","Dine-out","JP Nagar"
"The Egg Factory","Yes","No",4,1310,"JP Nagar","Casual Dining","French Toast","Continental, American","750","Dine-out","JP Nagar"
"Zhang's - Chinese Restaurant","Yes","No",4.1,589,"JP Nagar","Casual Dining","Momos","Chinese, Momos","700","Dine-out","JP Nagar"
"Coastal Mama","No","Yes",4.1,468,"JP Nagar","Casual Dining","Murgh Ghee Roast","Konkan, Mangalorean, North Indian, Seafood","700","Dine-out","JP Nagar"
"The Jade Kitchen","Yes","No",4,118,"JP Nagar","Casual Dining","Manchow Soup","Chinese, Thai","600","Dine-out","JP Nagar"
"Parkview","No","No",4,130,"JP Nagar","Quick Bites","Paneer Hyderabadi","South Indian, North Indian, Chinese","300","Dine-out","JP Nagar"
"Namma Kudla","Yes","No",4,200,"JP Nagar","Quick Bites","Sea Food","Mangalorean, North Indian, Chinese, Seafood","400","Dine-out","JP Nagar"
"Starbucks","No","No",4.2,386,"JP Nagar","Cafe","Coffee","Cafe, Desserts","700","Dine-out","JP Nagar"
"Shanghai Court","Yes","No",4.1,181,"JP Nagar","Casual Dining","Mocktails","Chinese, Thai","700","Dine-out","JP Nagar"
"Kakal-Kai Ruchi","Yes","No",3.7,218,"JP Nagar","Casual Dining","Masala Dosa","North Indian, South Indian, Chinese","500","Dine-out","JP Nagar"
"Waah Biryani","No","No",3.8,117,"JP Nagar","Quick Bites","Biryani","North Indian, Chinese, Biryani","350","Dine-out","JP Nagar"
"Danapani","No","No",3.8,59,"JP Nagar","Casual Dining","Roti","North Indian, South Indian, Chinese","500","Dine-out","JP Nagar"
"Inchara","No","No",3.7,536,"JP Nagar","Casual Dining","Paneer Tikka","North Indian, Continental, Chinese","950","Dine-out","JP Nagar"
"Kabab Mehal","No","No",3.8,234,"JP Nagar","Quick Bites","Chicken Grill","North Indian, Chinese, Kebab, Juices","400","Dine-out","JP Nagar"
"Adithya","Yes","No",4,180,"JP Nagar","Casual Dining","Coffee","South Indian, North Indian, Chinese","450","Dine-out","JP Nagar"
"Bikaner Jn","Yes","No",3.9,85,"JP Nagar","Quick Bites","Thali","Rajasthani","300","Dine-out","JP Nagar"
"Mudpipe Cafe","Yes","Yes",3.9,728,"JP Nagar","Cafe","Coffee","Cafe, Continental, North Indian","800","Dine-out","JP Nagar"
"Anjappar","No","No",3.1,97,"JP Nagar","Casual Dining","Biryani","Chettinad, South Indian","650","Dine-out","JP Nagar"
"Pallavi North Indian Veg Restaurant","No","No",3.7,246,"JP Nagar","Casual Dining","Butter Paneer","Biryani, North Indian, Chinese","450","Dine-out","JP Nagar"
"Drunken Monkey","Yes","No",3.7,125,"JP Nagar","Beverage Shop, Quick Bites","Sandwiches","Beverages, Fast Food","400","Dine-out","JP Nagar"
"Bhojohori Manna","Yes","No",3.7,666,"JP Nagar","Casual Dining","Fish","Bengali, Mughlai","650","Dine-out","JP Nagar"
"Nouvelle Garden","No","No",3.7,203,"JP Nagar","Casual Dining","Tiramisu","North Indian, Continental, Italian","900","Dine-out","JP Nagar"
"TAB - Take A Break","No","No",4.1,522,"JP Nagar","Cafe","Pizza","Cafe, Continental, Italian","550","Dine-out","JP Nagar"
"Chatori Gali","No","No",2.9,51,"JP Nagar","Casual Dining","Paratha","North Indian, Street Food","600","Dine-out","JP Nagar"
"Beijing Bites","No","No",4,99,"JP Nagar","Casual Dining","Dragon Chicken","Chinese, Thai","850","Dine-out","JP Nagar"
"Onesta","Yes","Yes",4.4,4410,"JP Nagar","Casual Dining, Cafe","Chicken Alfredo Pizza","Pizza, Cafe, Italian","600","Dine-out","JP Nagar"
"Royal Chef Naati Oota","No","No",4,194,"JP Nagar","Casual Dining","Chicken Biryani","South Indian, Biryani, North Indian","500","Dine-out","JP Nagar"
"Shanthi Sagar","Yes","No",3.6,519,"JP Nagar","Casual Dining","Coffee","South Indian, North Indian, Chinese","400","Dine-out","JP Nagar"
"White Horse","No","No",3.8,179,"JP Nagar","Quick Bites","Pot Biryani","North Indian, Mangalorean, Chinese","400","Dine-out","JP Nagar"
"Spice Code","No","Yes",3.9,165,"JP Nagar","Casual Dining","Fries","South Indian, North Indian, Chinese, Biryani","1,000","Dine-out","JP Nagar"
"Cafe Potpourri","Yes","No",3.7,132,"JP Nagar","Cafe","Poha","Cafe, Sandwich, North Indian, Beverages, Desserts","400","Dine-out","JP Nagar"
"Crafted Plate","Yes","Yes",4.2,239,"JP Nagar","Casual Dining, Cafe","Burgers","Cafe, Asian, Burger, Continental, Italian, Salad","600","Dine-out","JP Nagar"
"Coconut Grove","No","No",3.4,97,"JP Nagar","Casual Dining, Bar","Lime Soda","South Indian, Chettinad, Kerala, Seafood","1,100","Dine-out","JP Nagar"
"Woody's","Yes","No",2.6,208,"JP Nagar","Casual Dining","Curd Rice","Chinese, South Indian, North Indian","650","Dine-out","JP Nagar"
"Flow - Terrace Bar & Grill","No","No",3.8,82,"JP Nagar","Lounge, Bar","Cocktails","Pizza, Continental, North Indian, Chinese","1,000","Dine-out","JP Nagar"
"Funky Punjab","Yes","No",3.9,410,"JP Nagar","Casual Dining","Lassi","North Indian, Chinese","500","Dine-out","JP Nagar"
"Vinaya Coffee Moments","Yes","No",3.8,46,"JP Nagar","Cafe","Filter Coffee","Burger, Cafe, Desserts, Sandwich, Italian","450","Dine-out","JP Nagar"
"The Onyx - The HHI Select Bengaluru","No","No",3.3,177,"JP Nagar","Casual Dining","Chaat","North Indian, Chinese, Continental","950","Dine-out","JP Nagar"
"Spice Up","Yes","No",3.8,146,"JP Nagar","Casual Dining","Chicken Lollipop","Chinese","600","Dine-out","JP Nagar"
"Beach Hut","No","No",3.5,134,"JP Nagar","Casual Dining","Butter Naan","North Indian, Chinese","650","Dine-out","JP Nagar"
"Delhi Ke Bawarchi","No","No",4,88,"JP Nagar","Casual Dining","Veg Platter","North Indian, Chinese, Fast Food","500","Dine-out","JP Nagar"
"Zeeshan","Yes","No",3.1,320,"JP Nagar","Casual Dining","Firni","North Indian, Kebab, Biryani, Rolls","700","Dine-out","JP Nagar"
"Cuppa","No","No",3.4,48,"JP Nagar","Cafe","Coffee","Cafe, Fast Food","550","Dine-out","JP Nagar"
"Empire Restaurant","Yes","No",4.1,2402,"JP Nagar","Casual Dining","Sea Food","North Indian, Mughlai, South Indian, Chinese","750","Dine-out","JP Nagar"
"Mast Kalandar","No","No",2.3,176,"JP Nagar","Casual Dining","Raita","North Indian","450","Dine-out","JP Nagar"
"Kamat Swaad","No","No",3.9,194,"JP Nagar","Casual Dining","Jowar Roti","South Indian, North Indian, Chinese","400","Dine-out","JP Nagar"
"New Prashanth Hotel","Yes","No",3,64,"JP Nagar","Casual Dining","Mutton Biryani","South Indian, Biryani, Chinese, North Indian","750","Dine-out","JP Nagar"
"Deccan Spice","No","No",3.5,65,"JP Nagar","Casual Dining","Hyderabadi Biryani","North Indian, South Indian, Biryani","750","Dine-out","JP Nagar"
"NEW SUNRISE RESTAURANTS","No","No",2.7,39,"JP Nagar","Casual Dining","Tandoori Chicken","North Indian, Chinese, Biryani","500","Dine-out","JP Nagar"
"Andhra Grills","No","No",3,55,"JP Nagar","Casual Dining","Andhra Meal","Andhra, North Indian, Biryani","800","Dine-out","JP Nagar"
"Chung Wah Opus","Yes","No",3,57,"JP Nagar","Casual Dining","Rice","Chinese, Thai","650","Dine-out","JP Nagar"
"Petoo","No","No",3.7,48,"JP Nagar","Casual Dining","Jal-jeera","North Indian, Fast Food, Street Food","800","Dine-out","JP Nagar"
"Targaryen's Kitchen","Yes","No",3.6,43,"JP Nagar","Casual Dining","Tandoori Chicken","Chinese, North Indian, Mughlai","600","Dine-out","JP Nagar"
"Skytouch Le Cafe","Yes","No",3.7,127,"JP Nagar","Cafe","Pizza","Cafe, Italian, Desserts","700","Dine-out","JP Nagar"
"Pizza Hut","Yes","No",3.9,185,"JP Nagar","Casual Dining","Supreme Pizza","Pizza, Fast Food","750","Dine-out","JP Nagar"
"Sri Krishna Sagar","No","No",3,54,"JP Nagar","Quick Bites","Tea","South Indian, North Indian, Chinese, Street Food","300","Dine-out","JP Nagar"
"Woodee Pizza","Yes","No",2.7,85,"JP Nagar","Cafe","Pizza","Cafe, Pizza, Fast Food, Beverages","500","Dine-out","JP Nagar"
"Cafe Mist","Yes","No",3.8,187,"JP Nagar","Cafe","Barbecue Chicken Burger","Cafe, American, Continental, Italian","500","Dine-out","JP Nagar"
"Amritsari Kulcha Land","Yes","No",4,260,"JP Nagar","Quick Bites","Lassi","North Indian","300","Dine-out","JP Nagar"
"Mavalli Tiffin Room (MTR)","No","No",4.1,873,"JP Nagar","Quick Bites","Masala Dosa","South Indian","300","Dine-out","JP Nagar"
"California Burrito","No","No",4.1,98,"JP Nagar","Quick Bites","Tacos","Mexican, Fast Food","400","Dine-out","JP Nagar"
"Cheesiano Pizza","Yes","Yes",4,205,"JP Nagar","Quick Bites","Pasta","Pizza, Italian","700","Dine-out","JP Nagar"
"Bohra Bohra CafÃÂÃÂÃÂÃÂÃÂÃÂÃÂÃÂ©","Yes","No",3.6,49,"JP Nagar","Quick Bites","Fruit Custard","Bohri","300","Dine-out","JP Nagar"
"KFC","No","No",3.9,440,"JP Nagar","Quick Bites","Burgers","Burger, Fast Food","400","Dine-out","JP Nagar"
"Momo Jojo","Yes","No",4.3,539,"JP Nagar","Quick Bites","Noodles","Chinese, Tibetan, Momos","300","Dine-out","JP Nagar"
"The Hunger Room","Yes","No",3.9,37,"JP Nagar","Quick Bites","Pizza","Continental, Sandwich, Burger, Italian, Salad, Pizza","400","Dine-out","JP Nagar"
"Dakshin Cafe","Yes","No",4.1,140,"JP Nagar","Quick Bites","Vada","South Indian","100","Dine-out","JP Nagar"
"Tasty Bites","Yes","No",3.8,217,"JP Nagar","Quick Bites","Paratha","North Indian","450","Dine-out","JP Nagar"
"Faasos","Yes","No",3.9,313,"JP Nagar","Quick Bites","Rolls","North Indian, Biryani, Fast Food","500","Dine-out","JP Nagar"
"McDonald's","Yes","No",3.8,184,"JP Nagar","Quick Bites","Coffee","Burger, Fast Food","500","Dine-out","JP Nagar"
"Domino's Pizza","Yes","No",4,319,"JP Nagar","Quick Bites","Garlic Bread","Pizza, Fast Food","400","Dine-out","JP Nagar"
"Biggies Burger 'n' More","Yes","No",4.1,206,"JP Nagar","Quick Bites, Cafe","Burgers","Cafe, Burger, Fast Food","400","Dine-out","JP Nagar"
"The Foodyz","Yes","No",3.7,43,"JP Nagar","Quick Bites","Poha","North Indian, Chinese","500","Dine-out","JP Nagar"
"Dosa Bazaar","Yes","No",4,113,"JP Nagar","Quick Bites","Cheese Dosa","Street Food, South Indian","200","Dine-out","JP Nagar"
"Meat And Eat","Yes","No",3.7,81,"JP Nagar","Quick Bites","Burgers","Fast Food, Burger","500","Dine-out","JP Nagar"
"More Pizza","Yes","No",3.8,46,"JP Nagar","Quick Bites","Pizza","Pizza","450","Dine-out","JP Nagar"
"Nammura Upahara","No","No",3.8,40,"JP Nagar","Quick Bites","Masala Dosa","South Indian","100","Dine-out","JP Nagar"
"Bhukkhad Baba","Yes","No",3.7,132,"JP Nagar","Quick Bites","Paratha","North Indian, Beverages","250","Dine-out","JP Nagar"
"Punjabi Food Corner","Yes","No",3,354,"JP Nagar","Quick Bites","Kheer","North Indian, Chinese, Street Food","400","Dine-out","JP Nagar"
"Paratha Plaza","Yes","No",3.8,171,"JP Nagar","Quick Bites","Aloo Paratha","North Indian","250","Dine-out","JP Nagar"
"Prasiddhi Food Corner","Yes","No",3.7,171,"JP Nagar","Quick Bites","Coffee","Fast Food, North Indian, South Indian","200","Dine-out","JP Nagar"
"Grills & Rolls","Yes","No",2.5,321,"JP Nagar","Quick Bites","Shawarma","North Indian, Chinese, Fast Food, Rolls, Juices","400","Dine-out","JP Nagar"
"Subway","Yes","No",4,273,"JP Nagar","Quick Bites","Sandwiches","Salad, Fast Food","600","Dine-out","JP Nagar"
"Chaitanya Cafe","Yes","No",3.9,92,"JP Nagar","Quick Bites","Coffee","South Indian, North Indian, Fast Food","300","Dine-out","JP Nagar"
"SLV Restaurant","No","No",4.2,378,"JP Nagar","Quick Bites","Masala Dosa","South Indian, North Indian, Chinese","300","Dine-out","JP Nagar"
"Sree Krishna Kafe","No","No",3.9,115,"JP Nagar","Quick Bites","Vada","South Indian","200","Dine-out","JP Nagar"
"Pizza Stop","Yes","No",3.9,386,"JP Nagar","Quick Bites","Tortilla Chips","Pizza, Italian","600","Dine-out","JP Nagar"
"Donne Biriyani House","Yes","No",3.3,212,"JP Nagar","Quick Bites","Biryani","Biryani, Andhra","350","Dine-out","JP Nagar"
"Vinaya Cafe","Yes","No",3.7,55,"JP Nagar","Quick Bites","Coffee","South Indian, Street Food, Juices","200","Dine-out","JP Nagar"
"Dal Roti","Yes","No",3.7,117,"JP Nagar","Quick Bites","Dal Makhani","North Indian","150","Dine-out","JP Nagar"
"Rolls On Wheels","No","No",3.1,138,"JP Nagar","Quick Bites","Rolls","Fast Food, Rolls, Momos","300","Dine-out","JP Nagar"
"Calvin's","No","No",2.9,231,"JP Nagar","Dessert Parlor","Pasta","Desserts, Italian, Pizza","800","Dine-out","JP Nagar"
"Pappu Chaiwalla","No","No",3.6,140,"JP Nagar","Quick Bites","Tea","Fast Food, Tea, Beverages","300","Dine-out","JP Nagar"
"Cafe Bollywood","No","No",3.4,25,"JP Nagar","Quick Bites","Pav Bhaji","Street Food","200","Dine-out","JP Nagar"
"The Chocolate Room","Yes","No",3.9,153,"JP Nagar","Food Court","Brownie","Cafe, Desserts","400","Dine-out","JP Nagar"
"Five Star Chicken","Yes","No",3.9,62,"JP Nagar","Quick Bites","Fries","Burger, Fast Food, Roast Chicken, Finger Food","300","Dine-out","JP Nagar"
"Deja Vu Resto Bar","Yes","Yes",4.4,2496,"Bannerghatta Road","Pub","Gajar Ka Halwa","North Indian, Italian","900","Dine-out","JP Nagar"
"The Yellow Submarine","No","Yes",4.4,2075,"Bannerghatta Road","Microbrewery, Casual Dining","Watermelon Feta Salad","Continental, North Indian, Chinese, Pizza, Thai","1,200","Dine-out","JP Nagar"
"Chianti","No","Yes",4.5,787,"Bannerghatta Road","Casual Dining","Pasta","Italian","1,500","Dine-out","JP Nagar"
"Chavadi","Yes","Yes",4.4,2241,"Bannerghatta Road","Casual Dining, Bar","Pizza","Continental, North Indian, Pizza, Italian","1,200","Dine-out","JP Nagar"
"Public - The Rooftop Bar And Kitchen","No","Yes",4.3,966,"Bannerghatta Road","Casual Dining, Bar","Cocktails","North Indian, South Indian, Andhra, Chinese","1,000","Dine-out","JP Nagar"
"Nagarjuna","No","No",4.2,1292,"Bannerghatta Road","Casual Dining","Andhra Meal","Andhra, Biryani","800","Dine-out","JP Nagar"
"Fattoush","Yes","Yes",4.2,1976,"Bannerghatta Road","Casual Dining","Mango Chiller","Arabian, Biryani, Chinese, Middle Eastern, Fast Food, North Indian, Mughlai, Seafood","1,000","Dine-out","JP Nagar"
"Galito's","Yes","No",4.6,409,"Bannerghatta Road","Casual Dining","Chicken Grill","African, Burger","1,000","Dine-out","JP Nagar"
"Hyderabad Biryaani House","Yes","No",3.6,798,"Bannerghatta Road","Casual Dining","Chicken Biryani","Biryani, North Indian, Chinese","550","Dine-out","JP Nagar"
"Seasons","No","No",3.8,500,"Bannerghatta Road","Casual Dining","Biryani","North Indian, South Indian, Chinese, Seafood, Kerala, Arabian, Juices","","Dine-out","JP Nagar"
"Chung Wah","Yes","No",4,539,"Bannerghatta Road","Casual Dining","Chicken Chowmein","Chinese, Thai, Momos, Vietnamese","800","Dine-out","JP Nagar"
"Punjabi Times","Yes","Yes",4.1,1027,"Bannerghatta Road","Casual Dining","Chicken Tikka","North Indian","1,000","Dine-out","JP Nagar"
"Dadi's Dum Biryani","Yes","Yes",4,743,"Bannerghatta Road","Casual Dining","Chicken Biryani","Biryani, North Indian, Mughlai","800","Dine-out","JP Nagar"
"Kundana","Yes","No",3.7,111,"Bannerghatta Road","Casual Dining","Lemon Chicken","Andhra, Biryani","800","Dine-out","JP Nagar"
"Vaho Kafe & Pressery","No","No",3.9,124,"Bannerghatta Road","Cafe","Salad","Cafe, Healthy Food, Asian, Italian, North Indian, Biryani, Juices","500","Dine-out","JP Nagar"
"Dreamcatcher","Yes","No",3.9,50,"Bannerghatta Road","Cafe","English Breakfast","Cafe","600","Dine-out","JP Nagar"
"A2B - Adyar Ananda Bhavan","Yes","No",2.7,426,"Bannerghatta Road","Casual Dining","Filter Coffee","South Indian, North Indian, Chinese, Street Food, Fast Food","400","Dine-out","JP Nagar"
"Malhar Maharashtrian Cuisine","Yes","No",4,101,"Bannerghatta Road","Casual Dining","Brinjal Curry","Maharashtrian","500","Dine-out","JP Nagar"
"Hyderabadi Bawarchi","Yes","No",3.2,136,"Bannerghatta Road","Casual Dining","Raita","North Indian, Chinese, Biryani","500","Dine-out","JP Nagar"
"Marwa Restaurant","Yes","Yes",3.5,551,"Bannerghatta Road","Casual Dining","Kalmi Kabab","North Indian, Chinese, Fast Food, BBQ","600","Dine-out","JP Nagar"
"Chow San","Yes","No",3.1,122,"Bannerghatta Road","Quick Bites","Noodles","Chinese, Thai, Momos","500","Dine-out","JP Nagar"
"Guru Garden","No","No",2.9,107,"Bannerghatta Road","Casual Dining","Biryani","North Indian, Chinese","450","Dine-out","JP Nagar"
"Guru Paradise","No","Yes",2.9,200,"Bannerghatta Road","Casual Dining","Manchow Soup","Chinese, South Indian, North Indian","1,000","Dine-out","JP Nagar"
"Status","No","No",3.3,67,"Bannerghatta Road","Casual Dining","Prompt Service","North Indian, Chinese","600","Dine-out","JP Nagar"
"Athithi","No","No",2.8,80,"Bannerghatta Road","Casual Dining","Dum Biryani","Andhra, Biryani, Chinese, North Indian","650","Dine-out","JP Nagar"
"Zhangs Classic","Yes","No",2.6,170,"Bannerghatta Road","Casual Dining","Chowmein","Italian, Chinese, Japanese","600","Dine-out","JP Nagar"
"Coastal Inn","No","No",3.4,66,"Bannerghatta Road","Casual Dining","Biryani","Chinese, North Indian, Seafood","800","Dine-out","JP Nagar"
"Aramane Restaurant","Yes","Yes",2.9,90,"Bannerghatta Road","Casual Dining","Afghan Chicken","North Indian, South Indian, Seafood, Biryani, Chinese","800","Dine-out","JP Nagar"
"Tandoor Hut","No","No",2.2,90,"Bannerghatta Road","Casual Dining","Noodles","North Indian, Chinese","750","Dine-out","JP Nagar"
"Ammi's Biryani","No","No",2.4,392,"Bannerghatta Road","","Chicken Biryani","Biryani, North Indian","500","Dine-out","JP Nagar"
"Vasudev Adiga's","No","No",2.3,291,"Bannerghatta Road","Casual Dining","Coffee","South Indian, North Indian, Chinese, Street Food","250","Dine-out","JP Nagar"
"Polar Bear","Yes","No",3.9,190,"Bannerghatta Road","Dessert Parlor","Sandwiches","Ice Cream, Desserts, Beverages, Sandwich","400","Dine-out","JP Nagar"
"Green Onion","No","No",3.3,50,"Bannerghatta Road","Food Court","Noodles","Chinese","400","Dine-out","JP Nagar"
"Punjabi Corner","Yes","No",3.9,202,"Bannerghatta Road","Quick Bites","Paratha","North Indian, Chinese","250","Dine-out","JP Nagar"
"Garma Garam","Yes","No",3.2,146,"Bannerghatta Road","Quick Bites","Chicken Biryani","North Indian, Chinese, Biryani, Rolls","350","Dine-out","JP Nagar"
"Taco Bell","Yes","No",4,911,"Bannerghatta Road","Quick Bites","Nachos","Mexican, American, Fast Food","600","Dine-out","JP Nagar"
"Shuddh Desi Khana","Yes","No",4.1,600,"Bannerghatta Road","Quick Bites","Paratha","North Indian","400","Dine-out","JP Nagar"
"Burger King","Yes","No",3.2,188,"Bannerghatta Road","Quick Bites","Burgers","Burger, Fast Food, Beverages","600","Dine-out","JP Nagar"
"Bangaliana","Yes","No",2.9,154,"Bannerghatta Road","Quick Bites","Masala Prawn","Bengali","600","Dine-out","JP Nagar"
"Smoke - The Sizzler House","Yes","No",3.8,95,"Bannerghatta Road","Food Court","Potato Wedges","Continental, Chinese, Thai, Italian, BBQ, Steak","1,100","Dine-out","JP Nagar"
"Panchami Garden","No","No",3.5,56,"Bannerghatta Road","Quick Bites","Masala Dosa","South Indian, North Indian","400","Dine-out","JP Nagar"
"Hotel Aradhana","Yes","No",3.7,51,"Bannerghatta Road","Quick Bites","Akki Rottis","North Indian","300","Dine-out","JP Nagar"
"Paratha Junction","Yes","No",2.4,158,"Bannerghatta Road","Quick Bites","Aloo Paratha","North Indian, Chinese","300","Dine-out","JP Nagar"
"Nellore Bhojanam","Yes","No",3.1,178,"Bannerghatta Road","Quick Bites","Biryani","Andhra","250","Dine-out","JP Nagar"
"AB's - Absolute Barbecues","No","Yes",4.9,6404,"BTM","Casual Dining","Tangdi Chicken","European, Mediterranean, North Indian, BBQ","1,600","Dine-out","JP Nagar"
"Shivaji Military Hotel","No","No",4.3,2486,"Jayanagar","Casual Dining","Mutton Biryani","South Indian, Biryani","450","Dine-out","JP Nagar"
"Sea Lions BBQ & Grills","No","Yes",4.6,538,"Jayanagar","Casual Dining","Neer Dosa","North Indian, Chinese, Mughlai, Mexican, BBQ","1,100","Dine-out","JP Nagar"
"Go Native","Yes","Yes",4.3,1265,"Jayanagar","Casual Dining, Cafe","Mushroom Soup","Healthy Food, Cafe, Beverages","800","Dine-out","JP Nagar"
"Cable Car","Yes","Yes",4.3,1247,"Jayanagar","Casual Dining","Pasta","North Indian, Italian","1,000","Dine-out","JP Nagar"
"3B's - Buddies, Bar & Barbecues","No","Yes",4.4,1154,"BTM","Casual Dining, Bar","Paan Ice Cream","North Indian, Mediterranean, European, BBQ","1,100","Dine-out","JP Nagar"
"Once Upon a Rooftop","No","Yes",4.3,1246,"Jayanagar","Casual Dining, Bar","Pizza","Pizza, Italian, Chinese, Thai","1,000","Dine-out","JP Nagar"
"Thyme & Whisk","Yes","No",3.9,74,"Jayanagar","Casual Dining","Pizza","Asian, Chinese, Continental, Italian","800","Dine-out","JP Nagar"
"Protein Grillhouse","Yes","Yes",4.2,177,"Jayanagar","Casual Dining","Rice Bowl","Healthy Food, Continental, Juices, Salad, Burger, Beverages, Desserts","800","Dine-out","JP Nagar"
"Alchemy Coffee Roasters","No","No",4.2,713,"Jayanagar","Cafe","Coffee","Cafe","500","Dine-out","JP Nagar"
"Shanmukha","Yes","No",4.4,1972,"Jayanagar","Casual Dining","Egg Biryani","Biryani, Andhra, North Indian, Chinese","800","Dine-out","JP Nagar"
"Al-Bek","Yes","No",3.9,684,"Jayanagar","Casual Dining","Biryani","North Indian, Mughlai, Chinese, Seafood","650","Dine-out","JP Nagar"
"Eshanya","Yes","Yes",4.1,1080,"Jayanagar","Casual Dining","Spring Roll","North Indian, Chinese","1,000","Dine-out","JP Nagar"
